Game started | [2024-01-20 10:47:21.468804]
Game started | [2024-01-20 10:49:11.780802]
A Platform died T_T | [2024-01-20 10:49:12.547764]
Player received 50 points | [2024-01-20 10:49:12.547764]
Player died | [2024-01-20 10:49:12.746005]
Game ended | [2024-01-20 10:49:14.084368]
Game started | [2024-01-20 10:56:29.558385]
A Platform died T_T | [2024-01-20 10:56:30.161312]
Player received 50 points | [2024-01-20 10:56:30.161312]
Player died | [2024-01-20 10:56:30.361510]
Game ended | [2024-01-20 10:56:31.437407]
Game started | [2024-01-20 10:57:59.202384]
A Platform died T_T | [2024-01-20 10:57:59.501902]
Player received 50 points | [2024-01-20 10:57:59.501902]
Game started | [2024-01-20 10:59:02.636637]
A Platform died T_T | [2024-01-20 10:59:03.292484]
Player received 50 points | [2024-01-20 10:59:03.292484]
Player died | [2024-01-20 10:59:04.068600]
Game ended | [2024-01-20 11:00:49.672817]
