Game started | [2024-01-11 18:51:36.515639]
Game ended | [2024-01-11 18:53:11.709354]
Game started | [2024-01-11 18:53:51.032586]
Game ended | [2024-01-11 18:53:59.287020]
Game started | [2024-01-11 18:59:45.148930]
Game ended | [2024-01-11 18:59:54.875232]
Game started | [2024-01-11 19:00:23.557698]
Game ended | [2024-01-11 19:01:25.822406]
Game started | [2024-01-11 19:04:08.203890]
Game started | [2024-01-11 19:04:36.191266]
Game started | [2024-01-11 19:04:42.416165]
Game started | [2024-01-11 19:10:15.725058]
Game started | [2024-01-11 19:10:43.093926]
Game started | [2024-01-11 19:15:40.976424]
Game started | [2024-01-11 19:25:25.101397]
A Box died T_T | [2024-01-11 19:25:35.262600]
Player received 50 points | [2024-01-11 19:25:35.263608]
Game ended | [2024-01-11 19:25:48.607804]
Game started | [2024-01-11 19:27:34.547467]
Game ended | [2024-01-11 19:27:42.025256]
Game started | [2024-01-11 19:27:45.226536]
A Box died T_T | [2024-01-11 19:27:54.907121]
Player received 50 points | [2024-01-11 19:27:54.907121]
Game started | [2024-01-11 19:28:47.188927]
Game started | [2024-01-11 19:29:39.646572]
Game started | [2024-01-11 19:30:31.968923]
Game started | [2024-01-11 19:31:09.553983]
Game started | [2024-01-11 19:31:18.322394]
Game started | [2024-01-11 19:33:25.800032]
A Box died T_T | [2024-01-11 19:33:34.107488]
Player received 50 points | [2024-01-11 19:33:34.108491]
Game started | [2024-01-11 19:34:16.752271]
A Box died T_T | [2024-01-11 19:34:20.762163]
Player received 50 points | [2024-01-11 19:34:20.763165]
A Platform died T_T | [2024-01-11 19:34:27.990821]
Player received 50 points | [2024-01-11 19:34:27.991818]
Game ended | [2024-01-11 19:34:35.184141]
Game started | [2024-01-11 19:34:53.618736]
A Platform died T_T | [2024-01-11 19:35:20.788809]
Player received 50 points | [2024-01-11 19:35:20.790814]
A Platform died T_T | [2024-01-11 19:35:21.198553]
Player received 50 points | [2024-01-11 19:35:21.199560]
A Box died T_T | [2024-01-11 19:35:21.920572]
Player received 50 points | [2024-01-11 19:35:21.921572]
A Box died T_T | [2024-01-11 19:35:22.503597]
Player received 50 points | [2024-01-11 19:35:22.504862]
A Platform died T_T | [2024-01-11 19:35:22.919785]
Player received 50 points | [2024-01-11 19:35:22.920799]
A Box died T_T | [2024-01-11 19:35:23.276357]
Player received 50 points | [2024-01-11 19:35:23.276357]
A Box died T_T | [2024-01-11 19:35:23.889008]
Player received 50 points | [2024-01-11 19:35:23.890013]
A Platform died T_T | [2024-01-11 19:35:24.078742]
Player received 50 points | [2024-01-11 19:35:24.079742]
A Box died T_T | [2024-01-11 19:35:24.255892]
Player received 50 points | [2024-01-11 19:35:24.256896]
A Box died T_T | [2024-01-11 19:35:24.546268]
Player received 50 points | [2024-01-11 19:35:24.547273]
A Box died T_T | [2024-01-11 19:35:24.846777]
Player received 50 points | [2024-01-11 19:35:24.847780]
A Box died T_T | [2024-01-11 19:35:25.185070]
Player received 50 points | [2024-01-11 19:35:25.186076]
A Box died T_T | [2024-01-11 19:35:26.117867]
Player received 50 points | [2024-01-11 19:35:26.119372]
A Platform died T_T | [2024-01-11 19:35:27.252407]
Player received 50 points | [2024-01-11 19:35:27.253403]
A Platform died T_T | [2024-01-11 19:35:27.472056]
Player received 50 points | [2024-01-11 19:35:27.473062]
A Box died T_T | [2024-01-11 19:35:28.045927]
Player received 50 points | [2024-01-11 19:35:28.046924]
A Box died T_T | [2024-01-11 19:35:28.174485]
Player received 50 points | [2024-01-11 19:35:28.175484]
A Platform died T_T | [2024-01-11 19:35:28.915056]
Player received 50 points | [2024-01-11 19:35:28.916075]
A Platform died T_T | [2024-01-11 19:35:29.007505]
Player received 50 points | [2024-01-11 19:35:29.008504]
A Box died T_T | [2024-01-11 19:35:29.435566]
Player received 50 points | [2024-01-11 19:35:29.437079]
A Box died T_T | [2024-01-11 19:35:34.712882]
Player received 50 points | [2024-01-11 19:35:34.713882]
A Platform died T_T | [2024-01-11 19:35:36.832235]
Player received 50 points | [2024-01-11 19:35:36.832235]
A Box died T_T | [2024-01-11 19:35:37.956779]
Player received 50 points | [2024-01-11 19:35:37.957786]
A Box died T_T | [2024-01-11 19:35:38.294466]
Player received 50 points | [2024-01-11 19:35:38.295468]
A Platform died T_T | [2024-01-11 19:35:38.518746]
Player received 50 points | [2024-01-11 19:35:38.519752]
A Box died T_T | [2024-01-11 19:35:38.710817]
Player received 50 points | [2024-01-11 19:35:38.711815]
A Box died T_T | [2024-01-11 19:35:43.121174]
Player received 50 points | [2024-01-11 19:35:43.122745]
A Box died T_T | [2024-01-11 19:35:43.926174]
Player received 50 points | [2024-01-11 19:35:43.927178]
A Platform died T_T | [2024-01-11 19:35:44.069378]
Player received 50 points | [2024-01-11 19:35:44.070381]
A Box died T_T | [2024-01-11 19:35:44.465622]
Player received 50 points | [2024-01-11 19:35:44.467134]
A Box died T_T | [2024-01-11 19:35:44.865526]
Player received 50 points | [2024-01-11 19:35:44.866526]
A Box died T_T | [2024-01-11 19:35:45.680130]
Player received 50 points | [2024-01-11 19:35:45.681132]
A Box died T_T | [2024-01-11 19:35:45.811297]
Player received 50 points | [2024-01-11 19:35:45.811297]
A Box died T_T | [2024-01-11 19:35:47.217301]
Player received 50 points | [2024-01-11 19:35:47.217301]
A Box died T_T | [2024-01-11 19:35:47.224827]
Player received 50 points | [2024-01-11 19:35:47.225830]
A Platform died T_T | [2024-01-11 19:35:47.311249]
Player received 50 points | [2024-01-11 19:35:47.312246]
A Box died T_T | [2024-01-11 19:35:48.217268]
Player received 50 points | [2024-01-11 19:35:48.218272]
A Box died T_T | [2024-01-11 19:35:48.693096]
Player received 50 points | [2024-01-11 19:35:48.694096]
A Platform died T_T | [2024-01-11 19:35:48.885984]
Player received 50 points | [2024-01-11 19:35:48.886999]
A Box died T_T | [2024-01-11 19:35:48.938595]
Player received 50 points | [2024-01-11 19:35:48.939599]
A Platform died T_T | [2024-01-11 19:35:49.813657]
Player received 50 points | [2024-01-11 19:35:49.814668]
A Box died T_T | [2024-01-11 19:35:50.090908]
Player received 50 points | [2024-01-11 19:35:50.091908]
A Box died T_T | [2024-01-11 19:35:50.108003]
Player received 50 points | [2024-01-11 19:35:50.109521]
A Box died T_T | [2024-01-11 19:36:00.022882]
Player received 50 points | [2024-01-11 19:36:00.023892]
A Box died T_T | [2024-01-11 19:36:05.943537]
Player received 50 points | [2024-01-11 19:36:05.944537]
A Box died T_T | [2024-01-11 19:36:06.500438]
Player received 50 points | [2024-01-11 19:36:06.501442]
A Box died T_T | [2024-01-11 19:36:06.864920]
Player received 50 points | [2024-01-11 19:36:06.865923]
A Platform died T_T | [2024-01-11 19:36:09.420321]
Player received 50 points | [2024-01-11 19:36:09.421324]
A Box died T_T | [2024-01-11 19:36:09.712156]
Player received 50 points | [2024-01-11 19:36:09.713159]
A Box died T_T | [2024-01-11 19:36:10.093316]
Player received 50 points | [2024-01-11 19:36:10.094320]
A Platform died T_T | [2024-01-11 19:36:10.272530]
Player received 50 points | [2024-01-11 19:36:10.273526]
A Box died T_T | [2024-01-11 19:36:10.656643]
Player received 50 points | [2024-01-11 19:36:10.657647]
A Platform died T_T | [2024-01-11 19:36:14.456138]
Player received 50 points | [2024-01-11 19:36:14.457137]
A Box died T_T | [2024-01-11 19:36:14.950744]
